"","HDI","life_exp","edu_index","GNI","AdjustedHDI","ineq_life","ineq_edu","ineq_income"
"Costa Rica",0.766,79.4,116.76,"13,413","0.613","7.3","15.5","34.3"
"Iran (Islamic Republic of)",0.766,75.4,123.82,"15,440","0.509","12.5","37.3","46.6"
"Venezuela (Bolivarian Republic of)",0.762,74.2,126.38,"16,159","0.612","12.2","17.6","28.4"
"Turkey",0.761,75.3,110.2,"18,677","0.641","11.0","14.2","21.8"
"Sri Lanka",0.757,74.9,147.96,"9,779","0.669","8.3","12.8","13.7"
"Mexico",0.756,76.8,111.35,"16,056","0.587","10.9","19.7","34.6"
"Brazil",0.755,74.5,117.04,"15,175","0.557","14.5","23.6","38.7"
"Georgia",0.754,74.9,166.98,"7,164","0.652","12.9","3.3","23.4"
"Saint Kitts and Nevis",0.752,73.8,108.36,"20,805","..","..","..",".."
"Azerbaijan",0.751,70.8,133.28,"16,428","0.652","21.7","8.3","8.9"
"Grenada",0.75,73.4,135.88,"10,939","..","8.4","..",".."
"Jordan",0.748,74,133.65,"11,365","0.625","11.9","16.9","20.5"
"The former Yugoslav Republic of Macedonia",0.747,75.4,124.62,"11,780","0.622","7.6","10.6","30.1"
"Ukraine",0.747,71,170.63,"8,178","0.689","10.4","3.6","9.2"
"Algeria",0.736,74.8,106.4,"13,054","..","16.7","..",".."
"Peru",0.734,74.6,117.9,"11,015","0.563","13.9","23.3","31.9"
"Albania",0.733,77.8,109.74,"9,943","0.634","9.9","11.9","18.3"
"Armenia",0.733,74.7,134.07,"8,124","0.658","12.7","3.7","13.9"
"Bosnia and Herzegovina",0.733,76.5,112.88,"9,638","0.635","6.7","12.5","20.2"
"Ecuador",0.732,75.9,107.92,"10,605","0.570","13.4","21.1","30.9"
"Saint Lucia",0.729,75.1,117.18,"9,765","0.613","9.9","9.2","27.4"
"China",0.727,75.8,98.25,"12,547","..","9.8","..","29.5"
"Fiji",0.727,70,155.43,"7,493","0.616","12.3","10.5","22.6"
"Mongolia",0.727,69.4,135.78,"10,729","0.633","16.6","9.4","12.3"
"Thailand",0.726,74.4,98.55,"13,323","0.576","9.8","16.1","34.0"
"Dominica",0.724,77.8,100.33,"9,994","..","..","..",".."
"Libya",0.724,71.6,102.2,"14,911","..","10.1","..",".."
"Tunisia",0.721,74.8,99.28,"10,404","0.562","10.6","34.6","18.9"
"Colombia",0.72,74,98.55,"12,040","0.542","13.5","21.3","37.4"
"Saint Vincent and the Grenadines",0.72,72.9,115.24,"9,937","..","13.0","..",".."
"Jamaica",0.719,75.7,120.28,"7,415","0.593","15.0","5.6","30.1"
"Tonga",0.717,72.8,157.29,"5,069","..","13.7","..",".."
"Belize",0.715,70,142.8,"7,614","0.553","11.4","15.9","37.9"
"Dominican Republic",0.715,73.5,99.56,"11,883","0.546","16.9","22.9","30.3"
"Suriname",0.714,71.1,97.79,"15,617","0.543","13.6","19.0","37.3"
"Maldives",0.706,76.8,75.4,"12,328","0.531","8.1","40.0","23.2"
"Samoa",0.702,73.4,132.87,"5,327","..","13.3","..",".."
"Botswana",0.698,64.5,111.25,"16,646","0.431","21.9","32.1","55.5"
"Moldova (Republic of)",0.693,71.6,133.28,"5,223","0.618","11.0","7.3","14.0"
"Egypt",0.69,71.1,89.1,"10,512","0.524","13.4","40.9","14.2"
"Turkmenistan",0.688,65.6,106.92,"13,066","..","26.0","..",".."
"Gabon",0.684,64.4,97.5,"16,367","0.519","28.0","23.5","20.4"
"Indonesia",0.684,68.9,98.8,"9,788","0.559","16.4","20.8","17.3"
"Paraguay",0.679,72.9,91.63,"7,643","0.529","19.2","16.2","30.1"
